hilo,fase,tipoError,item,error
taskExecutor-2,PROCESS,InvalidDataException,"CuentaInteres{cuentaId=128, nombre='Steve Rogers', tipo='ahorro', saldo=5000}","Cuenta incompleta: CuentaInteres{cuentaId=128, nombre='Steve Rogers', tipo='ahorro', saldo=5000}"
taskExecutor-2,PROCESS,InvalidDataException,"CuentaInteres{cuentaId=113, nombre='Unknown', tipo='-1', saldo=null}","Cuenta 113 con saldo no positivo"
taskExecutor-2,PROCESS,InvalidDataException,"CuentaInteres{cuentaId=140, nombre='John Doe', tipo='hipoteca', saldo=null}","Cuenta 140 con saldo no positivo"
taskExecutor-2,PROCESS,InvalidDataException,"CuentaInteres{cuentaId=110, nombre='Alice Brown', tipo='-1', saldo=7000}","Cuenta incompleta: CuentaInteres{cuentaId=110, nombre='Alice Brown', tipo='-1', saldo=7000}"
taskExecutor-2,PROCESS,InvalidDataException,"CuentaInteres{cuentaId=115, nombre='Diana Prince', tipo='-1', saldo=null}","Cuenta 115 con saldo no positivo"
taskExecutor-2,PROCESS,InvalidDataException,"CuentaInteres{cuentaId=138, nombre='Charlie Green', tipo='-1', saldo=5000}","Cuenta incompleta: CuentaInteres{cuentaId=138, nombre='Charlie Green', tipo='-1', saldo=5000}"
taskExecutor-2,PROCESS,InvalidDataException,"CuentaInteres{cuentaId=105, nombre='Alice Brown', tipo='prestamo', saldo=null}","Cuenta 105 con saldo no positivo"
taskExecutor-2,PROCESS,InvalidDataException,"CuentaInteres{cuentaId=150, nombre='Steve Rogers', tipo='hipoteca', saldo=null}","Cuenta 150 con saldo no positivo"
taskExecutor-2,PROCESS,InvalidDataException,"CuentaInteres{cuentaId=137, nombre='Charlie Green', tipo='hipoteca', saldo=7000}","Cuenta 137 con edad invalida: 150"
taskExecutor-2,PROCESS,InvalidDataException,"CuentaInteres{cuentaId=124, nombre='John Doe', tipo='prestamo', saldo=null}","Cuenta 124 con saldo no positivo"
taskExecutor-2,PROCESS,InvalidDataException,"CuentaInteres{cuentaId=132, nombre='John Doe', tipo='-1', saldo=null}","Cuenta 132 con saldo no positivo"
taskExecutor-2,PROCESS,InvalidDataException,"CuentaInteres{cuentaId=113, nombre='Alice Brown', tipo='-1', saldo=null}","Cuenta incompleta: CuentaInteres{cuentaId=113, nombre='Alice Brown', tipo='-1', saldo=null}"
taskExecutor-2,PROCESS,InvalidDataException,"CuentaInteres{cuentaId=119, nombre='Steve Rogers', tipo='-1', saldo=null}","Cuenta 119 con saldo no positivo"
taskExecutor-2,PROCESS,InvalidDataException,"CuentaInteres{cuentaId=113, nombre='Charlie Green', tipo='unknown', saldo=7000}","Cuenta incompleta: CuentaInteres{cuentaId=113, nombre='Charlie Green', tipo='unknown', saldo=7000}"
taskExecutor-2,PROCESS,InvalidDataException,"CuentaInteres{cuentaId=120, nombre='John Doe', tipo='-1', saldo=null}","Cuenta incompleta: CuentaInteres{cuentaId=120, nombre='John Doe', tipo='-1', saldo=null}"
taskExecutor-2,PROCESS,InvalidDataException,"CuentaInteres{cuentaId=149, nombre='Steve Rogers', tipo='prestamo', saldo=null}","Cuenta 149 con edad invalida: 150"
taskExecutor-2,PROCESS,InvalidDataException,"CuentaInteres{cuentaId=107, nombre='Alice Brown', tipo='prestamo', saldo=10000}","Cuenta duplicada: CuentaInteres{cuentaId=107, nombre='Alice Brown', tipo='prestamo', saldo=10000}"
taskExecutor-2,PROCESS,InvalidDataException,"CuentaInteres{cuentaId=128, nombre='Diana Prince', tipo='hipoteca', saldo=7000}","Cuenta incompleta: CuentaInteres{cuentaId=128, nombre='Diana Prince', tipo='hipoteca', saldo=7000}"
taskExecutor-2,PROCESS,InvalidDataException,"CuentaInteres{cuentaId=120, nombre='Jane Smith', tipo='-1', saldo=5000}","Cuenta 120 con edad invalida: 150"
taskExecutor-2,PROCESS,InvalidDataException,"CuentaInteres{cuentaId=146, nombre='John Doe', tipo='unknown', saldo=null}","Cuenta 146 con saldo no positivo"
taskExecutor-2,PROCESS,InvalidDataException,"CuentaInteres{cuentaId=112, nombre='Jane Smith', tipo='-1', saldo=null}","Cuenta 112 con saldo no positivo"
taskExecutor-2,PROCESS,InvalidDataException,"CuentaInteres{cuentaId=129, nombre='Steve Rogers', tipo='-1', saldo=7000}","Cuenta 129 con edad invalida: 150"
taskExecutor-2,PROCESS,InvalidDataException,"CuentaInteres{cuentaId=136, nombre='Bob Johnson', tipo='hipoteca', saldo=10000}","Cuenta incompleta: CuentaInteres{cuentaId=136, nombre='Bob Johnson', tipo='hipoteca', saldo=10000}"
taskExecutor-2,PROCESS,InvalidDataException,"CuentaInteres{cuentaId=112, nombre='Bob Johnson', tipo='ahorro', saldo=null}","Cuenta 112 con saldo no positivo"
