hilo,fase,tipoError,item,error
taskExecutor-1,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=119, fecha=2024-02-11, transaccion='deposito', monto=0}","Monto no positivo en estado de cuenta (cuenta 119): 0"
taskExecutor-1,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=116, fecha=2024-07-11, transaccion='compra', monto=-500}","Monto no positivo en estado de cuenta (cuenta 116): -500"
taskExecutor-1,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=111, fecha=2024-09-26, transaccion='retiro', monto=-500}","Monto no positivo en estado de cuenta (cuenta 111): -500"
taskExecutor-1,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=114, fecha=2024-09-23, transaccion='deposito', monto=-100}","Monto no positivo en estado de cuenta (cuenta 114): -100"
taskExecutor-1,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=104, fecha=2024-08-30, transaccion='retiro', monto=-100}","Monto no positivo en estado de cuenta (cuenta 104): -100"
taskExecutor-1,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=103, fecha=2024-06-03, transaccion='compra', monto=-100}","Monto no positivo en estado de cuenta (cuenta 103): -100"
taskExecutor-1,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=110, fecha=2024-11-03, transaccion='compra', monto=-500}","Monto no positivo en estado de cuenta (cuenta 110): -500"
taskExecutor-1,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=110, fecha=2024-11-21, transaccion='retiro', monto=-100}","Monto no positivo en estado de cuenta (cuenta 110): -100"
taskExecutor-1,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=103, fecha=2024-09-13, transaccion='compra', monto=null}","Movimiento anual incompleto: MovimientoAnual{cuentaId=103, fecha=2024-09-13, transaccion='compra', monto=null}"
taskExecutor-1,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=119, fecha=2024-04-11, transaccion='pago', monto=2000}","Tipo de transaccion anual no valido: pago"
taskExecutor-1,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=118, fecha=2024-04-21, transaccion='deposito', monto=-500}","Monto no positivo en estado de cuenta (cuenta 118): -500"
taskExecutor-1,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=112, fecha=2024-02-08, transaccion='deposito', monto=-500}","Monto no positivo en estado de cuenta (cuenta 112): -500"
taskExecutor-1,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=101, fecha=2024-06-20, transaccion='deposito', monto=-100}","Monto no positivo en estado de cuenta (cuenta 101): -100"
taskExecutor-1,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=104, fecha=2024-05-08, transaccion='deposito', monto=-100}","Monto no positivo en estado de cuenta (cuenta 104): -100"
taskExecutor-1,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=118, fecha=2024-11-08, transaccion='compra', monto=-500}","Monto no positivo en estado de cuenta (cuenta 118): -500"
taskExecutor-1,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=105, fecha=2024-04-26, transaccion='deposito', monto=-500}","Monto no positivo en estado de cuenta (cuenta 105): -500"
