hilo,fase,tipoError,item,error
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=671, fecha=2024-05-17, monto=800, tipo='desconocido'}","Transaccion 671 con tipo no valido: desconocido"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=674, fecha=2024-10-08, monto=3000, tipo='desconocido'}","Transaccion 674 con tipo no valido: desconocido"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=675, fecha=2024-11-10, monto=700, tipo='invalid'}","Transaccion 675 con tipo no valido: invalid"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=676, fecha=2024-08-07, monto=null, tipo='debito'}","Transaccion incompleta: Transaccion{id=676, fecha=2024-08-07, monto=null, tipo='debito'}"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=677, fecha=2024-09-02, monto=700, tipo='invalid'}","Transaccion 677 con tipo no valido: invalid"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=678, fecha=2024-08-26, monto=800, tipo='invalid'}","Transaccion 678 con tipo no valido: invalid"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=679, fecha=2024-04-19, monto=null, tipo='credito'}","Transaccion incompleta: Transaccion{id=679, fecha=2024-04-19, monto=null, tipo='credito'}"
taskExecutor-3,READ,FlatFileParseException,"672,2024-13-01,-200,credito","Parsing error at line: 673 in resource=[class path resource [data/transacciones.csv]], input=[672,2024-13-01,-200,credito]"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=684, fecha=2024-11-04, monto=null, tipo='credito'}","Transaccion incompleta: Transaccion{id=684, fecha=2024-11-04, monto=null, tipo='credito'}"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=685, fecha=2024-12-20, monto=1000, tipo='desconocido'}","Transaccion 685 con tipo no valido: desconocido"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=686, fecha=2024-11-01, monto=0, tipo='invalid'}","Transaccion 686 con tipo no valido: invalid"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=687, fecha=2024-12-12, monto=null, tipo='debito'}","Transaccion incompleta: Transaccion{id=687, fecha=2024-12-12, monto=null, tipo='debito'}"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=688, fecha=2024-08-17, monto=1000, tipo='desconocido'}","Transaccion 688 con tipo no valido: desconocido"
taskExecutor-3,READ,FlatFileParseException,"680,2024-13-01,1500,debito","Parsing error at line: 681 in resource=[class path resource [data/transacciones.csv]], input=[680,2024-13-01,1500,debito]"
