hilo,fase,tipoError,item,error
taskExecutor-2,PROCESS,InvalidDataException,"Transaccion{id=336, fecha=2024-03-14, monto=800, tipo='invalid'}","Transaccion 336 con tipo no valido: invalid"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=671, fecha=2024-05-17, monto=800, tipo='desconocido'}","Transaccion 671 con tipo no valido: desconocido"
taskExecutor-1,PROCESS,InvalidDataException,"Transaccion{id=3, fecha=2024-04-09, monto=800, tipo='invalid'}","Transaccion 3 con tipo no valido: invalid"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=674, fecha=2024-10-08, monto=3000, tipo='desconocido'}","Transaccion 674 con tipo no valido: desconocido"
taskExecutor-2,PROCESS,InvalidDataException,"Transaccion{id=338, fecha=2024-06-19, monto=800, tipo='invalid'}","Transaccion 338 con tipo no valido: invalid"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=675, fecha=2024-11-10, monto=700, tipo='invalid'}","Transaccion 675 con tipo no valido: invalid"
taskExecutor-1,PROCESS,InvalidDataException,"Transaccion{id=4, fecha=2024-05-04, monto=null, tipo='invalid'}","Transaccion incompleta: Transaccion{id=4, fecha=2024-05-04, monto=null, tipo='invalid'}"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=676, fecha=2024-08-07, monto=null, tipo='debito'}","Transaccion incompleta: Transaccion{id=676, fecha=2024-08-07, monto=null, tipo='debito'}"
taskExecutor-2,PROCESS,InvalidDataException,"Transaccion{id=339, fecha=2024-06-06, monto=null, tipo='invalid'}","Transaccion incompleta: Transaccion{id=339, fecha=2024-06-06, monto=null, tipo='invalid'}"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=677, fecha=2024-09-02, monto=700, tipo='invalid'}","Transaccion 677 con tipo no valido: invalid"
taskExecutor-1,PROCESS,InvalidDataException,"Transaccion{id=9, fecha=2024-04-07, monto=3000, tipo='invalid'}","Transaccion 9 con tipo no valido: invalid"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=678, fecha=2024-08-26, monto=800, tipo='invalid'}","Transaccion 678 con tipo no valido: invalid"
taskExecutor-2,PROCESS,InvalidDataException,"Transaccion{id=341, fecha=2024-01-28, monto=-200, tipo='invalid'}","Transaccion 341 con tipo no valido: invalid"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=679, fecha=2024-04-19, monto=null, tipo='credito'}","Transaccion incompleta: Transaccion{id=679, fecha=2024-04-19, monto=null, tipo='credito'}"
taskExecutor-1,PROCESS,InvalidDataException,"Transaccion{id=10, fecha=2024-10-15, monto=1500, tipo='invalid'}","Transaccion 10 con tipo no valido: invalid"
taskExecutor-3,READ,FlatFileParseException,"672,2024-13-01,-200,credito","Parsing error at line: 673 in resource=[class path resource [data/transacciones.csv]], input=[672,2024-13-01,-200,credito]"
taskExecutor-2,PROCESS,InvalidDataException,"Transaccion{id=342, fecha=2024-07-08, monto=null, tipo='debito'}","Transaccion incompleta: Transaccion{id=342, fecha=2024-07-08, monto=null, tipo='debito'}"
taskExecutor-1,READ,FlatFileParseException,"7,2024-13-01,700,debito","Parsing error at line: 8 in resource=[class path resource [data/transacciones.csv]], input=[7,2024-13-01,700,debito]"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=684, fecha=2024-11-04, monto=null, tipo='credito'}","Transaccion incompleta: Transaccion{id=684, fecha=2024-11-04, monto=null, tipo='credito'}"
taskExecutor-2,PROCESS,InvalidDataException,"Transaccion{id=343, fecha=2024-01-08, monto=3000, tipo='invalid'}","Transaccion 343 con tipo no valido: invalid"
taskExecutor-1,PROCESS,InvalidDataException,"Transaccion{id=15, fecha=2024-06-01, monto=null, tipo='desconocido'}","Transaccion incompleta: Transaccion{id=15, fecha=2024-06-01, monto=null, tipo='desconocido'}"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=685, fecha=2024-12-20, monto=1000, tipo='desconocido'}","Transaccion 685 con tipo no valido: desconocido"
taskExecutor-2,PROCESS,InvalidDataException,"Transaccion{id=345, fecha=2024-11-19, monto=700, tipo='invalid'}","Transaccion 345 con tipo no valido: invalid"
taskExecutor-1,PROCESS,InvalidDataException,"Transaccion{id=16, fecha=2024-04-27, monto=1000, tipo='invalid'}","Transaccion 16 con tipo no valido: invalid"
taskExecutor-2,PROCESS,InvalidDataException,"Transaccion{id=346, fecha=2024-10-12, monto=1500, tipo='invalid'}","Transaccion 346 con tipo no valido: invalid"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=686, fecha=2024-11-01, monto=0, tipo='invalid'}","Transaccion 686 con tipo no valido: invalid"
taskExecutor-2,PROCESS,InvalidDataException,"Transaccion{id=347, fecha=2024-05-20, monto=3000, tipo='invalid'}","Transaccion 347 con tipo no valido: invalid"
taskExecutor-1,PROCESS,InvalidDataException,"Transaccion{id=17, fecha=2024-12-18, monto=-200, tipo='invalid'}","Transaccion 17 con tipo no valido: invalid"
taskExecutor-2,PROCESS,InvalidDataException,"Transaccion{id=352, fecha=2024-02-02, monto=-200, tipo='invalid'}","Transaccion 352 con tipo no valido: invalid"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=687, fecha=2024-12-12, monto=null, tipo='debito'}","Transaccion incompleta: Transaccion{id=687, fecha=2024-12-12, monto=null, tipo='debito'}"
taskExecutor-1,PROCESS,InvalidDataException,"Transaccion{id=22, fecha=2024-06-05, monto=1000, tipo='invalid'}","Transaccion 22 con tipo no valido: invalid"
taskExecutor-2,PROCESS,InvalidDataException,"Transaccion{id=353, fecha=2024-04-18, monto=null, tipo='credito'}","Transaccion incompleta: Transaccion{id=353, fecha=2024-04-18, monto=null, tipo='credito'}"
taskExecutor-1,PROCESS,InvalidDataException,"Transaccion{id=25, fecha=2024-11-09, monto=null, tipo='debito'}","Transaccion incompleta: Transaccion{id=25, fecha=2024-11-09, monto=null, tipo='debito'}"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=688, fecha=2024-08-17, monto=1000, tipo='desconocido'}","Transaccion 688 con tipo no valido: desconocido"
taskExecutor-1,PROCESS,InvalidDataException,"Transaccion{id=28, fecha=2024-09-03, monto=null, tipo='desconocido'}","Transaccion incompleta: Transaccion{id=28, fecha=2024-09-03, monto=null, tipo='desconocido'}"
taskExecutor-2,PROCESS,InvalidDataException,"Transaccion{id=354, fecha=2024-01-10, monto=null, tipo='debito'}","Transaccion incompleta: Transaccion{id=354, fecha=2024-01-10, monto=null, tipo='debito'}"
taskExecutor-1,PROCESS,InvalidDataException,"Transaccion{id=29, fecha=2024-05-27, monto=null, tipo='debito'}","Transaccion incompleta: Transaccion{id=29, fecha=2024-05-27, monto=null, tipo='debito'}"
taskExecutor-3,READ,FlatFileParseException,"680,2024-13-01,1500,debito","Parsing error at line: 681 in resource=[class path resource [data/transacciones.csv]], input=[680,2024-13-01,1500,debito]"
taskExecutor-2,PROCESS,InvalidDataException,"Transaccion{id=358, fecha=2024-10-10, monto=null, tipo='invalid'}","Transaccion incompleta: Transaccion{id=358, fecha=2024-10-10, monto=null, tipo='invalid'}"
taskExecutor-1,PROCESS,InvalidDataException,"Transaccion{id=30, fecha=2024-02-09, monto=-200, tipo='invalid'}","Transaccion 30 con tipo no valido: invalid"
taskExecutor-2,PROCESS,InvalidDataException,"Transaccion{id=359, fecha=2024-08-04, monto=null, tipo='debito'}","Transaccion incompleta: Transaccion{id=359, fecha=2024-08-04, monto=null, tipo='debito'}"
taskExecutor-3,READ,FlatFileParseException,"681,2024-13-01,1000,credito","Parsing error at line: 682 in resource=[class path resource [data/transacciones.csv]], input=[681,2024-13-01,1000,credito]"
taskExecutor-2,PROCESS,InvalidDataException,"Transaccion{id=360, fecha=2024-04-23, monto=700, tipo='invalid'}","Transaccion 360 con tipo no valido: invalid"
taskExecutor-1,PROCESS,InvalidDataException,"Transaccion{id=31, fecha=2024-04-11, monto=800, tipo='invalid'}","Transaccion 31 con tipo no valido: invalid"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=692, fecha=2024-09-15, monto=null, tipo='credito'}","Transaccion incompleta: Transaccion{id=692, fecha=2024-09-15, monto=null, tipo='credito'}"
taskExecutor-2,PROCESS,InvalidDataException,"Transaccion{id=361, fecha=2024-05-08, monto=null, tipo='invalid'}","Transaccion incompleta: Transaccion{id=361, fecha=2024-05-08, monto=null, tipo='invalid'}"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=693, fecha=2024-02-13, monto=null, tipo='credito'}","Transaccion incompleta: Transaccion{id=693, fecha=2024-02-13, monto=null, tipo='credito'}"
taskExecutor-1,PROCESS,InvalidDataException,"Transaccion{id=32, fecha=2024-01-01, monto=1500, tipo='invalid'}","Transaccion 32 con tipo no valido: invalid"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=695, fecha=2024-10-20, monto=-200, tipo='invalid'}","Transaccion 695 con tipo no valido: invalid"
taskExecutor-2,PROCESS,InvalidDataException,"Transaccion{id=363, fecha=2024-01-09, monto=1000, tipo='invalid'}","Transaccion 363 con tipo no valido: invalid"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=696, fecha=2024-05-11, monto=700, tipo='invalid'}","Transaccion 696 con tipo no valido: invalid"
taskExecutor-1,READ,FlatFileParseException,"23,2024-13-01,1000,credito","Parsing error at line: 24 in resource=[class path resource [data/transacciones.csv]], input=[23,2024-13-01,1000,credito]"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=697, fecha=2024-02-01, monto=800, tipo='invalid'}","Transaccion 697 con tipo no valido: invalid"
taskExecutor-2,READ,FlatFileParseException,"357,2024-13-01,1000,credito","Parsing error at line: 358 in resource=[class path resource [data/transacciones.csv]], input=[357,2024-13-01,1000,credito]"
taskExecutor-1,PROCESS,InvalidDataException,"Transaccion{id=39, fecha=2024-11-18, monto=1200, tipo='invalid'}","Transaccion 39 con tipo no valido: invalid"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=698, fecha=2024-09-29, monto=700, tipo='invalid'}","Transaccion 698 con tipo no valido: invalid"
taskExecutor-1,PROCESS,InvalidDataException,"Transaccion{id=43, fecha=2024-12-06, monto=-100, tipo='invalid'}","Transaccion 43 con tipo no valido: invalid"
taskExecutor-2,PROCESS,InvalidDataException,"Transaccion{id=369, fecha=2024-09-29, monto=800, tipo='desconocido'}","Transaccion 369 con tipo no valido: desconocido"
taskExecutor-1,READ,FlatFileParseException,"40,2024-13-01,3000,credito","Parsing error at line: 41 in resource=[class path resource [data/transacciones.csv]], input=[40,2024-13-01,3000,credito]"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=699, fecha=2024-12-10, monto=800, tipo='desconocido'}","Transaccion 699 con tipo no valido: desconocido"
taskExecutor-2,PROCESS,InvalidDataException,"Transaccion{id=374, fecha=2024-07-25, monto=800, tipo='desconocido'}","Transaccion 374 con tipo no valido: desconocido"
taskExecutor-1,PROCESS,InvalidDataException,"Transaccion{id=45, fecha=2024-08-23, monto=null, tipo='credito'}","Transaccion incompleta: Transaccion{id=45, fecha=2024-08-23, monto=null, tipo='credito'}"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=701, fecha=2024-02-01, monto=3000, tipo='desconocido'}","Transaccion 701 con tipo no valido: desconocido"
taskExecutor-2,PROCESS,InvalidDataException,"Transaccion{id=377, fecha=2024-05-25, monto=null, tipo='credito'}","Transaccion incompleta: Transaccion{id=377, fecha=2024-05-25, monto=null, tipo='credito'}"
taskExecutor-1,PROCESS,InvalidDataException,"Transaccion{id=47, fecha=2024-11-30, monto=1200, tipo='invalid'}","Transaccion 47 con tipo no valido: invalid"
taskExecutor-1,PROCESS,InvalidDataException,"Transaccion{id=52, fecha=2024-03-16, monto=1000, tipo='invalid'}","Transaccion 52 con tipo no valido: invalid"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=703, fecha=2024-05-05, monto=1500, tipo='invalid'}","Transaccion 703 con tipo no valido: invalid"
taskExecutor-2,PROCESS,InvalidDataException,"Transaccion{id=379, fecha=2024-03-09, monto=1000, tipo='invalid'}","Transaccion 379 con tipo no valido: invalid"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=704, fecha=2024-02-19, monto=800, tipo='invalid'}","Transaccion 704 con tipo no valido: invalid"
taskExecutor-1,PROCESS,InvalidDataException,"Transaccion{id=53, fecha=2024-07-02, monto=null, tipo='debito'}","Transaccion incompleta: Transaccion{id=53, fecha=2024-07-02, monto=null, tipo='debito'}"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=709, fecha=2024-05-01, monto=1500, tipo='invalid'}","Transaccion 709 con tipo no valido: invalid"
taskExecutor-2,PROCESS,InvalidDataException,"Transaccion{id=381, fecha=2024-06-25, monto=null, tipo='credito'}","Transaccion incompleta: Transaccion{id=381, fecha=2024-06-25, monto=null, tipo='credito'}"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=711, fecha=2024-12-06, monto=null, tipo='invalid'}","Transaccion incompleta: Transaccion{id=711, fecha=2024-12-06, monto=null, tipo='invalid'}"
taskExecutor-1,PROCESS,InvalidDataException,"Transaccion{id=54, fecha=2024-02-21, monto=800, tipo='desconocido'}","Transaccion 54 con tipo no valido: desconocido"
taskExecutor-3,PROCESS,InvalidDataException,"Transaccion{id=712, fecha=2024-09-11, monto=null, tipo='debito'}","Transaccion incompleta: Transaccion{id=712, fecha=2024-09-11, monto=null, tipo='debito'}"
taskExecutor-2,PROCESS,InvalidDataException,"Transaccion{id=382, fecha=2024-07-04, monto=500, tipo='invalid'}","Transaccion 382 con tipo no valido: invalid"
